Serial_No,Time,FA0,FB0,CAin,CBin,T0,Q,Tcin,Fc,Ca,Cb,Cc,Cd,T,Tc,h,Xa
124,01:07:37,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,69.3376,69.3376,18.6497,18.6497,301.0325,293.4666,0.5002,0.0
125,01:07:38,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,69.1797,69.1797,18.7235,18.7235,301.0202,293.4659,0.5002,0.0
126,01:07:39,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,69.0228,69.0228,18.7965,18.7965,301.0079,293.4652,0.5002,0.0
127,01:07:40,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,68.8668,68.8668,18.8688,18.8688,300.9957,293.4645,0.5002,0.0
128,01:07:41,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,68.7117,68.7117,18.9403,18.9403,300.9835,293.4638,0.5002,0.0
129,01:07:42,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,68.5576,68.5576,19.0111,19.0111,300.9714,293.4631,0.5002,0.0
130,01:07:43,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,68.4044,68.4044,19.0811,19.0811,300.9593,293.4624,0.5002,0.0
131,01:07:44,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,68.2522,68.2522,19.1504,19.1504,300.9473,293.4617,0.5002,0.0
132,01:07:45,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,68.1008,68.1008,19.219,19.219,300.9353,293.461,0.5002,0.0
133,01:07:46,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,67.9504,67.9504,19.2868,19.2868,300.9234,293.4603,0.5002,0.0
134,01:07:47,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,67.8008,67.8008,19.354,19.354,300.9115,293.4596,0.5002,0.0
135,01:07:48,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,67.6521,67.6521,19.4204,19.4204,300.8997,293.4589,0.5002,0.0
136,01:07:49,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,67.5043,67.5043,19.4861,19.4861,300.8879,293.4582,0.5002,0.0
137,01:07:50,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,67.3574,67.3574,19.5512,19.5512,300.8762,293.4575,0.5002,0.0
138,01:07:51,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,67.2114,67.2114,19.6155,19.6155,300.8645,293.4568,0.5002,0.0
139,01:07:52,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,67.0662,67.0662,19.6792,19.6792,300.8528,293.4562,0.5002,0.0
140,01:07:53,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,66.9219,66.9219,19.7422,19.7422,300.8412,293.4555,0.5002,0.0
141,01:07:54,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,66.7784,66.7784,19.8045,19.8045,300.8296,293.4548,0.5002,0.0
142,01:07:55,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,66.6358,66.6358,19.8662,19.8662,300.8181,293.4541,0.5002,0.0
143,01:07:56,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,66.494,66.494,19.9272,19.9272,300.8066,293.4534,0.5002,0.0
144,01:07:57,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,66.353,66.353,19.9876,19.9876,300.7952,293.4527,0.5002,0.0
145,01:07:58,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,66.2128,66.2128,20.0473,20.0473,300.7838,293.4521,0.5002,0.0
146,01:07:59,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,66.0735,66.0735,20.1064,20.1064,300.7725,293.4514,0.5002,0.0
147,01:08:00,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,65.935,65.935,20.1648,20.1648,300.7612,293.4507,0.5003,0.0
148,01:08:01,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,65.7973,65.7973,20.2226,20.2226,300.75,293.45,0.5003,0.0
149,01:08:02,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,65.6604,65.6604,20.2798,20.2798,300.7387,293.4494,0.5003,0.0
150,01:08:03,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,65.5242,65.5242,20.3364,20.3364,300.7276,293.4487,0.5003,0.0
151,01:08:04,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,65.3889,65.3889,20.3924,20.3924,300.7165,293.448,0.5003,0.0
152,01:08:05,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,65.2543,65.2543,20.4477,20.4477,300.7054,293.4474,0.5003,0.0
153,01:08:06,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,65.1206,65.1206,20.5025,20.5025,300.6944,293.4467,0.5003,0.0
154,01:08:07,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,64.9875,64.9875,20.5567,20.5567,300.6834,293.446,0.5003,0.0
155,01:08:08,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,64.8553,64.8553,20.6102,20.6102,300.6724,293.4454,0.5003,0.0
156,01:08:09,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,64.7238,64.7238,20.6632,20.6632,300.6615,293.4447,0.5003,0.0
157,01:08:10,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,64.5931,64.5931,20.7156,20.7156,300.6507,293.4441,0.5003,0.0
